;Ticker;Name;Sector;Industry
593;DDD;3D SYSTEMS CORPORATION COMMON STOCK;TECHNOLOGY;COMPUTER PERIPHERAL EQUIPMENT
663;DDS;DILLARD'S INC. COMMON STOCK;CONSUMER SERVICES;DEPARTMENT/SPECIALTY RETAIL STORES
51;DE;DEERE & COMPANY COMMON STOCK;CAPITAL GOODS;INDUSTRIAL MACHINERY/COMPONENTS
385;DECK;DECKERS OUTDOOR CORPORATION COMMON STOCK;CONSUMER NON-DURABLES;SHOE MANUFACTURING
511;DEI;DOUGLAS EMMETT INC. COMMON STOCK;CONSUMER SERVICES;REAL ESTATE INVESTMENT TRUSTS
140;DFS;DISCOVER FINANCIAL SERVICES COMMON STOCK;FINANCE;FINANCE: CONSUMER SERVICES
106;DG;DOLLAR GENERAL CORPORATION COMMON STOCK;CONSUMER SERVICES;DEPARTMENT/SPECIALTY RETAIL STORES
294;DGX;QUEST DIAGNOSTICS INCORPORATED COMMON STOCK;HEALTH CARE;MEDICAL SPECIALITIES
165;DHI;D.R. HORTON INC. COMMON STOCK;;
23;DHR;DANAHER CORPORATION COMMON STOCK;HEALTH CARE;MEDICAL SPECIALITIES
53;DIDI;DIDI GLOBAL INC.;;
54;DIS;THE WALT DISNEY COMPANY;;
9;DIS;WALT DISNEY COMPANY (THE) COMMON STOCK;CONSUMER SERVICES;MOVIES/ENTERTAINMENT
55;DISCA;DISCOVERY, INC.;;
56;DKNG;DRAFTKINGS INC.;;
423;DKS;DICK'S SPORTING GOODS INC COMMON STOCK;CONSUMER SERVICES;OTHER SPECIALTY STORES
383;DLB;DOLBY LABORATORIES COMMON STOCK;TECHNOLOGY;EDP SERVICES
121;DLR;DIGITAL REALTY TRUST INC. COMMON STOCK;CONSUMER SERVICES;REAL ESTATE INVESTMENT TRUSTS
57;DNA;GINKGO BIOWORKS HOLDINGS, INC.;;
391;DNB;DUN & BRADSTREET HOLDINGS INC. COMMON STOCK;TECHNOLOGY;EDP SERVICES
724;DNP;DNP SELECT INCOME FUND INC. COMMON STOCK;FINANCE;INVESTMENT MANAGERS
644;DOC;PHYSICIANS REALTY TRUST COMMON SHARES OF BENEFICIAL INTEREST;CONSUMER SERVICES;REAL ESTATE INVESTMENT TRUSTS
229;DOV;DOVER CORPORATION COMMON STOCK;CAPITAL GOODS;INDUSTRIAL MACHINERY/COMPONENTS
273;DPZ;DOMINO'S PIZZA INC COMMON STOCK;CONSUMER NON-DURABLES;FOOD DISTRIBUTORS
272;DRE;DUKE REALTY CORPORATION COMMON STOCK;CONSUMER SERVICES;REAL ESTATE INVESTMENT TRUSTS
853;DRH;DIAMONDROCK HOSPITALITY COMPANY COMMON STOCK;CONSUMER SERVICES;REAL ESTATE INVESTMENT TRUSTS
267;DRI;DARDEN RESTAURANTS INC. COMMON STOCK;CONSUMER SERVICES;RESTAURANTS
282;DT;DYNATRACE INC. COMMON STOCK;TECHNOLOGY;EDP SERVICES
207;DTE;DTE ENERGY COMPANY COMMON STOCK;PUBLIC UTILITIES;ELECTRIC UTILITIES: CENTRAL
70;DUK;DUKE ENERGY CORPORATION (HOLDING COMPANY) COMMON STOCK;PUBLIC UTILITIES;POWER GENERATION
330;DVA;DAVITA INC. COMMON STOCK;HEALTH CARE;MEDICAL/NURSING SERVICES
58;DVN;DEVON ENERGY CORPORATION;;
241;DVN;DEVON ENERGY CORPORATION COMMON STOCK;ENERGY;OIL & GAS PRODUCTION
827;DY;DYCOM INDUSTRIES INC. COMMON STOCK;BASIC INDUSTRIES;WATER SUPPLY
725;EAF;GRAFTECH INTERNATIONAL LTD. COMMON STOCK;CONSUMER DURABLES;METAL FABRICATIONS
787;EAT;BRINKER INTERNATIONAL INC. COMMON STOCK;CONSUMER SERVICES;RESTAURANTS
59;EBR;CENTRAIS EL‚TRICAS BRASILEIRAS S.A. - ELETROBR S;;
711;EBS;EMERGENT BIOSOLUTIONS INC. COMMON STOCK;HEALTH CARE;MAJOR PHARMACEUTICALS
92;ECL;ECOLAB INC. COMMON STOCK;CONSUMER NON-DURABLES;PACKAGE GOODS/COSMETICS
202;ED;CONSOLIDATED EDISON INC. COMMON STOCK;PUBLIC UTILITIES;POWER GENERATION
60;ED;CONSOLIDATED EDISON, INC.;;
61;EDU;NEW ORIENTAL EDUCATION & TECHNOLOGY GROUP INC.;;
182;EFX;EQUIFAX INC. COMMON STOCK;TECHNOLOGY;ADVERTISING
744;EGHT;8X8 INC COMMON STOCK;TECHNOLOGY;EDP SERVICES
487;EGP;EASTGROUP PROPERTIES INC. COMMON STOCK;CONSUMER SERVICES;REAL ESTATE INVESTMENT TRUSTS
439;EHC;ENCOMPASS HEALTH CORPORATION COMMON STOCK;HEALTH CARE;MEDICAL SPECIALITIES
233;EIX;EDISON INTERNATIONAL COMMON STOCK;PUBLIC UTILITIES;ELECTRIC UTILITIES: CENTRAL
48;EL;ESTEE LAUDER COMPANIES INC. (THE) COMMON STOCK;CONSUMER NON-DURABLES;PACKAGE GOODS/COSMETICS
287;ELAN;ELANCO ANIMAL HEALTH INCORPORATED COMMON STOCK;HEALTH CARE;MAJOR PHARMACEUTICALS
62;ELP;COMPANHIA PARANAENSE DE ENERGIA - COPEL;;
318;ELS;EQUITY LIFESTYLE PROPERTIES INC. COMMON STOCK;CONSUMER SERVICES;REAL ESTATE INVESTMENT TRUSTS
504;ELY;CALLAWAY GOLF COMPANY COMMON STOCK;CONSUMER NON-DURABLES;RECREATIONAL PRODUCTS/TOYS
475;EME;EMCOR GROUP INC. COMMON STOCK;CAPITAL GOODS;ENGINEERING & CONSTRUCTION
291;EMN;EASTMAN CHEMICAL COMPANY COMMON STOCK;BASIC INDUSTRIES;MAJOR CHEMICALS
95;EMR;EMERSON ELECTRIC COMPANY COMMON STOCK;CAPITAL GOODS;INDUSTRIAL MACHINERY/COMPONENTS
63;EMR;EMERSON ELECTRIC CO.;;
64;ENIA;ENEL AM‚RICAS S.A.;;
766;ENR;ENERGIZER HOLDINGS INC. COMMON STOCK;BASIC INDUSTRIES;METAL FABRICATIONS
638;ENS;ENERSYS COMMON STOCK;CONSUMER NON-DURABLES;TELECOMMUNICATIONS EQUIPMENT
634;ENV;ENVESTNET INC COMMON STOCK;TECHNOLOGY;EDP SERVICES
107;EOG;EOG RESOURCES INC. COMMON STOCK;ENERGY;OIL & GAS PRODUCTION
180;EPAM;EPAM SYSTEMS INC. COMMON STOCK;TECHNOLOGY;EDP SERVICES
103;EPD;ENTERPRISE PRODUCTS PARTNERS L.P. COMMON STOCK;PUBLIC UTILITIES;NATURAL GAS DISTRIBUTION
656;EPR;EPR PROPERTIES COMMON STOCK;CONSUMER SERVICES;REAL ESTATE INVESTMENT TRUSTS
730;EPRT;ESSENTIAL PROPERTIES REALTY TRUST INC. COMMON STOCK;CONSUMER SERVICES;REAL ESTATE INVESTMENT TRUSTS
718;EQC;EQUITY COMMONWEALTH COMMON SHARES OF BENEFICIAL INTEREST;CONSUMER SERVICES;REAL ESTATE INVESTMENT TRUSTS
329;EQH;EQUITABLE HOLDINGS INC. COMMON STOCK;;
177;EQR;EQUITY RESIDENTIAL COMMON SHARES OF BENEFICIAL INTEREST;CONSUMER SERVICES;REAL ESTATE INVESTMENT TRUSTS
65;EQT;EQT CORPORATION;;
524;EQT;EQT CORPORATION COMMON STOCK;ENERGY;OIL & GAS PRODUCTION
66;ERIC;TELEFONAKTIEBOLAGET LM ERICSSON (PUBL);;
196;ES;EVERSOURCE ENERGY (D/B/A) COMMON STOCK;PUBLIC UTILITIES;ELECTRIC UTILITIES: CENTRAL
818;ESE;ESCO TECHNOLOGIES INC. COMMON STOCK;CAPITAL GOODS;TELECOMMUNICATIONS EQUIPMENT
533;ESI;ELEMENT SOLUTIONS INC. COMMON STOCK;BASIC INDUSTRIES;INDUSTRIAL SPECIALTIES
699;ESRT;EMPIRE STATE REALTY TRUST INC. CLASS A COMMON STOCK;CONSUMER SERVICES;REAL ESTATE INVESTMENT TRUSTS
246;ESS;ESSEX PROPERTY TRUST INC. COMMON STOCK;CONSUMER SERVICES;REAL ESTATE INVESTMENT TRUSTS
323;ESTC;ELASTIC N.V. ORDINARY SHARES;TECHNOLOGY;COMPUTER SOFTWARE: PREPACKAGED SOFTWARE
175;ET;ENERGY TRANSFER LP COMMON UNITS ;PUBLIC UTILITIES;NATURAL GAS DISTRIBUTION
67;ET;ENERGY TRANSFER LP;;
239;ETR;ENTERGY CORPORATION COMMON STOCK;PUBLIC UTILITIES;ELECTRIC UTILITIES: CENTRAL
861;ETY;EATON VANCE TAX-MANAGED DIVERSIFIED EQUITY INCOME FUND COMMON SHARES OF BENEFICIAL INTEREST;FINANCE;FINANCE COMPANIES
819;EVA;ENVIVA PARTNERS LP COMMON UNITS REPRESENTING LIMITED PARTNER INTERESTS;;
544;EVR;EVERCORE INC. CLASS A COMMON STOCK;FINANCE;INVESTMENT MANAGERS
842;EVRI;EVERI HOLDINGS INC. COMMON STOCK;CONSUMER SERVICES;RECREATIONAL PRODUCTS/TOYS
875;EVT;EATON VANCE TAX ADVANTAGED DIVIDEND INCOME FUND COMMON SHARES OF BENEFICIAL INTEREST;FINANCE;FINANCE COMPANIES
87;EW;EDWARDS LIFESCIENCES CORPORATION COMMON STOCK;HEALTH CARE;INDUSTRIAL SPECIALTIES
68;EXC;EXELON CORPORATION;;
747;EXG;EATON VANCE TAX-MANAGED GLOBAL DIVERSIFIED EQUITY INCOME FUND EATON VANCE TAX-MANAGED GLOBAL DIVERSIFIED EQUITY INCOME FUND COMMON SHARES OF BENEFICIAL INTEREST;FINANCE;FINANCE COMPANIES
513;EXP;EAGLE MATERIALS INC COMMON STOCK;CAPITAL GOODS;BUILDING MATERIALS
220;EXR;EXTRA SPACE STORAGE INC COMMON STOCK;CONSUMER SERVICES;REAL ESTATE INVESTMENT TRUSTS
90;F;FORD MOTOR COMPANY COMMON STOCK;CAPITAL GOODS;AUTO MANUFACTURING
69;F;FORD MOTOR COMPANY;;
479;FAF;FIRST AMERICAN CORPORATION (NEW) COMMON STOCK;FINANCE;SPECIALTY INSURERS
70;FB;FACEBOOK, INC.;;
831;FBC;FLAGSTAR BANCORP INC. COMMON STOCK;FINANCE;SAVINGS INSTITUTIONS
320;FBHS;FORTUNE BRANDS HOME & SECURITY INC. COMMON STOCK;CONSUMER DURABLES;BUILDING PRODUCTS
71;FCEL;FUELCELL ENERGY, INC.;;
598;FCN;FTI CONSULTING INC. COMMON STOCK;CONSUMER SERVICES;PROFESSIONAL SERVICES
845;FCPT;FOUR CORNERS PROPERTY TRUST INC. COMMON STOCK;CONSUMER SERVICES;REAL ESTATE INVESTMENT TRUSTS
99;FCX;FREEPORT-MCMORAN INC. COMMON STOCK;BASIC INDUSTRIES;PRECIOUS METALS
72;FCX;FREEPORT-MCMORAN INC.;;
67;FDX;FEDEX CORPORATION COMMON STOCK;TRANSPORTATION;AIR FREIGHT/DELIVERY SERVICES
240;FE;FIRSTENERGY CORP. COMMON STOCK;PUBLIC UTILITIES;ELECTRIC UTILITIES: CENTRAL
709;FHI;FEDERATED HERMES INC. COMMON STOCK;FINANCE;INVESTMENT MANAGERS
393;FHN;FIRST HORIZON CORPORATION COMMON STOCK;FINANCE;MAJOR BANKS
309;FICO;FAIR ISAAC CORPROATION COMMON STOCK;TECHNOLOGY;COMPUTER SOFTWARE: PREPACKAGED SOFTWARE
792;FINV;FINVOLUTION GROUP AMERICAN DEPOSITARY SHARES;FINANCE;FINANCE: CONSUMER SERVICES
58;FIS;FIDELITY NATIONAL INFORMATION SERVICES INC. COMMON STOCK;MISCELLANEOUS;BUSINESS SERVICES
769;FIX;COMFORT SYSTEMS USA INC. COMMON STOCK;CAPITAL GOODS;ENGINEERING & CONSTRUCTION
501;FL;FOOT LOCKER INC.;CONSUMER SERVICES;CLOTHING/SHOE/ACCESSORY STORES
574;FLO;FLOWERS FOODS INC. COMMON STOCK;CONSUMER NON-DURABLES;FARMING/SEEDS/MILLING
789;FLOW;SPX FLOW INC. COMMON STOCK;CAPITAL GOODS;INDUSTRIAL MACHINERY/COMPONENTS
801;FLR;FLUOR CORPORATION COMMON STOCK;CAPITAL GOODS;OILFIELD SERVICES/EQUIPMENT
560;FLS;FLOWSERVE CORPORATION COMMON STOCK;CAPITAL GOODS;FLUID CONTROLS
226;FLT;FLEETCOR TECHNOLOGIES INC. COMMON STOCK;TECHNOLOGY;EDP SERVICES
304;FMC;FMC CORPORATION COMMON STOCK;BASIC INDUSTRIES;AGRICULTURAL CHEMICALS
73;FMCC;FEDERAL HOME LOAN MORTGAGE CORPORATION;;
651;FNB;F.N.B. CORPORATION COMMON STOCK;FINANCE;MAJOR BANKS
336;FNF;FNF GROUP OF FIDELITY NATIONAL FINANCIAL INC. COMMON STOCK;FINANCE;SPECIALTY INSURERS
74;FNMA;FEDERAL NATIONAL MORTGAGE ASSOCIATION;;
437;FOUR;SHIFT4 PAYMENTS INC. CLASS A COMMON STOCK;TECHNOLOGY;EDP SERVICES
481;FR;FIRST INDUSTRIAL REALTY TRUST INC. COMMON STOCK;CONSUMER SERVICES;REAL ESTATE INVESTMENT TRUSTS
161;FRC;FIRST REPUBLIC BANK COMMON STOCK;FINANCE;MAJOR BANKS
411;FRT;FEDERAL REALTY INVESTMENT TRUST COMMON STOCK;CONSUMER SERVICES;REAL ESTATE INVESTMENT TRUSTS
813;FSS;FEDERAL SIGNAL CORPORATION COMMON STOCK;TECHNOLOGY;INDUSTRIAL MACHINERY/COMPONENTS
765;FTAI;FORTRESS TRANSPORTATION AND INFRASTRUCTURE INVESTORS LLC COMMON SHARES;TECHNOLOGY;DIVERSIFIED COMMERCIAL SERVICES
75;FTCH;FARFETCH LIMITED;;
76;FUBO;FUBOTV INC.;;
710;FUL;H. B. FULLER COMPANY COMMON STOCK;BASIC INDUSTRIES;HOME FURNISHINGS
796;FUN;CEDAR FAIR L.P. COMMON STOCK;CONSUMER SERVICES;MOVIES/ENTERTAINMENT
77;FUTU;FUTU HOLDINGS LIMITED;;
722;GATX;GATX CORPORATION COMMON STOCK;TRANSPORTATION;RENTAL/LEASING COMPANIES
101;GD;GENERAL DYNAMICS CORPORATION COMMON STOCK;CAPITAL GOODS;INDUSTRIAL MACHINERY/COMPONENTS
308;GDDY;GODADDY INC. CLASS A COMMON STOCK;TECHNOLOGY;EDP SERVICES
794;GDOT;GREEN DOT CORPORATION CLASS A COMMON STOCK $0.001 PAR VALUE;TECHNOLOGY;ADVERTISING
821;GDV;GABELLI DIVIDEND & INCOME TRUST COMMON SHARES OF BENEFICIAL INTEREST;FINANCE;INVESTMENT MANAGERS
46;GE;GENERAL ELECTRIC COMPANY COMMON STOCK;CAPITAL GOODS;AEROSPACE
78;GE;GENERAL ELECTRIC COMPANY;;
683;GEF;GREIF INC. CLASS A COMMON STOCK;;
79;GGB;GERDAU S.A.;;
339;GGG;GRACO INC. COMMON STOCK;CAPITAL GOODS;FLUID CONTROLS
731;GHC;GRAHAM HOLDINGS COMPANY COMMON STOCK;MISCELLANEOUS;SERVICE TO THE HEALTH INDUSTRY
144;GIS;GENERAL MILLS INC. COMMON STOCK;CONSUMER SERVICES;FOOD CHAINS
80;GIS;GENERAL MILLS, INC.;;
653;GKOS;GLAUKOS CORPORATION COMMON STOCK;HEALTH CARE;MEDICAL/DENTAL INSTRUMENTS
384;GL;GLOBE LIFE INC. COMMON STOCK;FINANCE;LIFE INSURANCE
150;GLW;CORNING INCORPORATED COMMON STOCK;CAPITAL GOODS;INDUSTRIAL MACHINERY/COMPONENTS
81;GM;GENERAL MOTORS COMPANY;;
62;GM;GENERAL MOTORS COMPANY COMMON STOCK;CAPITAL GOODS;AUTO MANUFACTURING
299;GME;GAMESTOP CORPORATION COMMON STOCK;CONSUMER SERVICES;ELECTRONICS DISTRIBUTION
460;GMED;GLOBUS MEDICAL INC. CLASS A COMMON STOCK;HEALTH CARE;MEDICAL/DENTAL INSTRUMENTS
210;GNRC;GENERAC HOLDLINGS INC. COMMON STOCK;CONSUMER DURABLES;METAL FABRICATIONS
872;GNW;GENWORTH FINANCIAL INC COMMON STOCK;FINANCE;LIFE INSURANCE
82;GOLD;BARRICK GOLD CORPORATION;;
681;GOLF;ACUSHNET HOLDINGS CORP. COMMON STOCK;CONSUMER NON-DURABLES;RECREATIONAL PRODUCTS/TOYS
269;GPC;GENUINE PARTS COMPANY COMMON STOCK;CAPITAL GOODS;AUTOMOTIVE AFTERMARKET
777;GPI;GROUP 1 AUTOMOTIVE INC. COMMON STOCK;CONSUMER SERVICES;OTHER SPECIALTY STORES
547;GPK;GRAPHIC PACKAGING HOLDING COMPANY;BASIC INDUSTRIES;PAPER
97;GPN;GLOBAL PAYMENTS INC. COMMON STOCK;MISCELLANEOUS;BUSINESS SERVICES
83;GPS;THE GAP, INC.;;
342;GPS;GAP INC. (THE) COMMON STOCK;CONSUMER SERVICES;CLOTHING/SHOE/ACCESSORY STORES
603;GRA;W.R. GRACE & CO. COMMON STOCK;BASIC INDUSTRIES;MAJOR CHEMICALS
84;GS;THE GOLDMAN SACHS GROUP, INC.;;
42;GS;GOLDMAN SACHS GROUP INC. (THE) COMMON STOCK;FINANCE;INVESTMENT BANKERS/BROKERS/SERVICE
85;GSAT;GLOBALSTAR, INC.;;
868;GSBD;GOLDMAN SACHS BDC INC. COMMON STOCK;FINANCE;FINANCE: CONSUMER SERVICES
569;GTLS;CHART INDUSTRIES INC. COMMON STOCK;TECHNOLOGY;ELECTRICAL PRODUCTS
843;GTN;GRAY TELEVISION INC. COMMON STOCK;CONSUMER SERVICES;BROADCASTING
398;GWRE;GUIDEWIRE SOFTWARE INC. COMMON STOCK;TECHNOLOGY;COMPUTER SOFTWARE: PREPACKAGED SOFTWARE
215;GWW;W.W. GRAINGER INC. COMMON STOCK;CONSUMER NON-DURABLES;TELECOMMUNICATIONS EQUIPMENT
435;H;HYATT HOTELS CORPORATION CLASS A COMMON STOCK;CONSUMER SERVICES;HOTELS/RESORTS
712;HAE;HAEMONETICS CORPORATION COMMON STOCK;HEALTH CARE;MEDICAL/DENTAL INSTRUMENTS
86;HAL;HALLIBURTON COMPANY;;
230;HAL;HALLIBURTON COMPANY COMMON STOCK;ENERGY;OIL & GAS PRODUCTION
608;HASI;HANNON ARMSTRONG SUSTAINABLE INFRASTRUCTURE CAPITAL INC. COMMON STOCK;CONSUMER SERVICES;REAL ESTATE INVESTMENT TRUSTS
87;HBAN;HUNTINGTON BANCSHARES INCORPORATED;;
495;HBI;HANESBRANDS INC. COMMON STOCK;CONSUMER NON-DURABLES;APPAREL
81;HCA;HCA HEALTHCARE INC. COMMON STOCK;HEALTH CARE;HOSPITAL/NURSING MANAGEMENT
7;HD;HOME DEPOT INC. (THE) COMMON STOCK;CONSUMER SERVICES;RETAIL: BUILDING MATERIALS
601;HE;HAWAIIAN ELECTRIC INDUSTRIES INC. COMMON STOCK;;
254;HEI;HEICO CORPORATION COMMON STOCK;CAPITAL GOODS;AEROSPACE
823;HEP;HOLLY ENERGY PARTNERS L.P. COMMON STOCK;;
195;HES;HESS CORPORATION COMMON STOCK;ENERGY;OIL & GAS PRODUCTION
549;HFC;HOLLYFRONTIER CORPORATION COMMON STOCK;ENERGY;INTEGRATED OIL COMPANIES
548;HHC;HOWARD HUGHES CORPORATION (THE) COMMON STOCK;CONSUMER SERVICES;REAL ESTATE INVESTMENT TRUSTS
717;HI;HILLENBRAND INC COMMON STOCK;MISCELLANEOUS;CONSUMER SPECIALTIES
218;HIG;HARTFORD FINANCIAL SERVICES GROUP INC. (THE) COMMON STOCK;FINANCE;PROPERTY-CASUALTY INSURERS
430;HII;HUNTINGTON INGALLS INDUSTRIES INC. COMMON STOCK;CAPITAL GOODS;METAL FABRICATIONS
592;HIW;HIGHWOODS PROPERTIES INC. COMMON STOCK;CONSUMER SERVICES;REAL ESTATE INVESTMENT TRUSTS
625;HL;HECLA MINING COMPANY COMMON STOCK;BASIC INDUSTRIES;PRECIOUS METALS
88;HL;HECLA MINING COMPANY;;
550;HLI;HOULIHAN LOKEY INC. CLASS A COMMON STOCK;FINANCE;INVESTMENT MANAGERS
89;HMY;HARMONY GOLD MINING COMPANY LIMITED;;
465;HOG;HARLEY-DAVIDSON INC. COMMON STOCK;CONSUMER NON-DURABLES;MOTOR VEHICLES
816;HOME;AT HOME GROUP INC. COMMON STOCK;CONSUMER SERVICES;HOME FURNISHINGS
677;HP;HELMERICH & PAYNE INC. COMMON STOCK;ENERGY;OIL & GAS PRODUCTION
257;HPE;HEWLETT PACKARD ENTERPRISE COMPANY COMMON STOCK;TECHNOLOGY;ELECTRONIC COMPONENTS
90;HPE;HEWLETT PACKARD ENTERPRISE COMPANY;;
628;HPP;HUDSON PACIFIC PROPERTIES INC. COMMON STOCK;CONSUMER SERVICES;BUILDING OPERATORS
147;HPQ;HP INC. COMMON STOCK;TECHNOLOGY;COMPUTER MANUFACTURING
91;HPQ;HP INC.;;
620;HR;HEALTHCARE REALTY TRUST INCORPORATED COMMON STOCK;CONSUMER SERVICES;REAL ESTATE INVESTMENT TRUSTS
617;HRB;H&R BLOCK INC. COMMON STOCK;MISCELLANEOUS;OTHER CONSUMER SERVICES
461;HRC;HILL-ROM HOLDINGS INC COMMON STOCK;HEALTH CARE;MEDICAL/DENTAL INSTRUMENTS
204;HRL;HORMEL FOODS CORPORATION COMMON STOCK;CONSUMER NON-DURABLES;MEAT/POULTRY/FISH
92;HST;HOST HOTELS & RESORTS, INC.;;
146;HSY;THE HERSHEY COMPANY COMMON STOCK;CONSUMER NON-DURABLES;SPECIALTY FOODS
512;HTA;HEALTHCARE TRUST OF AMERICA INC. CLASS A COMMON STOCK;CONSUMER SERVICES;REAL ESTATE INVESTMENT TRUSTS
880;HTGC;HERCULES CAPITAL INC. COMMON STOCK;FINANCE;FINANCE COMPANIES
748;HTH;HILLTOP HOLDINGS INC.;FINANCE;MAJOR BANKS
382;HUBB;HUBBELL INC COMMON STOCK;CAPITAL GOODS;INDUSTRIAL MACHINERY/COMPONENTS
193;HUBS;HUBSPOT INC. COMMON STOCK;TECHNOLOGY;COMPUTER SOFTWARE: PREPACKAGED SOFTWARE
96;HUM;HUMANA INC. COMMON STOCK;HEALTH CARE;MEDICAL SPECIALITIES
526;HUN;HUNTSMAN CORPORATION COMMON STOCK;BASIC INDUSTRIES;MAJOR CHEMICALS
93;HUT;HUT 8 MINING CORP.;;
645;HUYA;HUYA INC. AMERICAN DEPOSITARY SHARES EACH  REPRESENTING ONE CLASS A ORDINARY SHARE;CONSUMER SERVICES;BROADCASTING
298;HWM;HOWMET AEROSPACE INC. COMMON STOCK;CAPITAL GOODS;INDUSTRIAL MACHINERY/COMPONENTS
553;HXL;HEXCEL CORPORATION COMMON STOCK;CAPITAL GOODS;INDUSTRIAL MACHINERY/COMPONENTS
41;IBM;INTERNATIONAL BUSINESS MACHINES CORPORATION COMMON STOCK;TECHNOLOGY;EDP SERVICES
83;ICE;INTERCONTINENTAL EXCHANGE INC. COMMON STOCK;;
578;IDA;IDACORP INC. COMMON STOCK;PUBLIC UTILITIES;ELECTRIC UTILITIES: CENTRAL
286;IEX;IDEX CORPORATION COMMON STOCK;CAPITAL GOODS;FLUID CONTROLS
139;IFF;INTERNATIONA FLAVORS & FRAGRANCES INC. COMMON STOCK;BASIC INDUSTRIES;MAJOR CHEMICALS
583;IGT;INTERNATIONAL GAME TECHNOLOGY ORDINARY SHARES;CONSUMER SERVICES;MOVIES/ENTERTAINMENT
599;IIPR;INNOVATIVE INDUSTRIAL PROPERTIES INC. COMMON STOCK;CONSUMER SERVICES;REAL ESTATE
94;INFY;INFOSYS LIMITED;;
516;INGR;INGREDION INCORPORATED COMMON STOCK;CONSUMER NON-DURABLES;FARMING/SEEDS/MILLING
557;INSP;INSPIRE MEDICAL SYSTEMS INC. COMMON STOCK;HEALTH CARE;BIOTECHNOLOGY: ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS
865;INT;WORLD FUEL SERVICES CORPORATION COMMON STOCK;ENERGY;OIL REFINING/MARKETING
95;INTC;INTEL CORPORATION;;
227;INVH;INVITATION HOMES INC. COMMON STOCK;CONSUMER SERVICES;REAL ESTATE INVESTMENT TRUSTS
96;IP;INTERNATIONAL PAPER COMPANY;;
212;IP;INTERNATIONAL PAPER COMPANY COMMON STOCK;BASIC INDUSTRIES;CONTAINERS/PACKAGING
333;IPG;INTERPUBLIC GROUP OF COMPANIES INC. (THE) COMMON STOCK;TECHNOLOGY;ADVERTISING
97;IQ;IQIYI, INC.;;
112;IQV;IQVIA HOLDINGS INC. COMMON STOCK;HEALTH CARE;MANAGED HEALTH CARE
244;IR;INGERSOLL RAND INC. COMMON STOCK;CAPITAL GOODS;INDUSTRIAL MACHINERY/COMPONENTS
341;IRM;IRON MOUNTAIN INCORPORATED (DELAWARE)COMMON STOCK REIT;CONSUMER SERVICES;REAL ESTATE INVESTMENT TRUSTS
235;IT;GARTNER INC. COMMON STOCK;FINANCE;DIVERSIFIED COMMERCIAL SERVICES
745;ITGR;INTEGER HOLDINGS CORPORATION COMMON STOCK;HEALTH CARE;MEDICAL/DENTAL INSTRUMENTS
447;ITT;ITT INC. COMMON STOCK ;CAPITAL GOODS;FLUID CONTROLS
98;ITUB;ITA£ UNIBANCO HOLDING S.A.;;
75;ITW;ILLINOIS TOOL WORKS INC. COMMON STOCK;CAPITAL GOODS;INDUSTRIAL MACHINERY/COMPONENTS
338;IVZ;INVESCO LTD COMMON STOCK;FINANCE;INVESTMENT MANAGERS
274;J;JACOBS ENGINEERING GROUP INC. COMMON STOCK;CAPITAL GOODS;OILFIELD SERVICES/EQUIPMENT
623;JBGS;JBG SMITH PROPERTIES COMMON SHARES ;CONSUMER SERVICES;REAL ESTATE INVESTMENT TRUSTS
427;JBL;JABIL INC. COMMON STOCK;TECHNOLOGY;ELECTRICAL PRODUCTS
99;JBLU;JETBLUE AIRWAYS CORPORATION;;
609;JBT;JOHN BEAN TECHNOLOGIES CORPORATION COMMON STOCK;CAPITAL GOODS;DIVERSIFIED MANUFACTURE
100;JD;JD.COM, INC.;;
446;JEF;JEFFERIES FINANCIAL GROUP INC. COMMON STOCK;FINANCE;FINANCE/INVESTORS SERVICES
807;JELD;JELD-WEN HOLDING INC. COMMON STOCK;;
376;JLL;JONES LANG LASALLE INCORPORATED COMMON STOCK;FINANCE;REAL ESTATE
101;JNJ;JOHNSON & JOHNSON;;
2;JNJ;JOHNSON & JOHNSON COMMON STOCK;HEALTH CARE;MAJOR PHARMACEUTICALS
415;JNPR;JUNIPER NETWORKS INC. COMMON STOCK;TECHNOLOGY;COMPUTER PERIPHERAL EQUIPMENT
800;JOE;ST. JOE COMPANY (THE) COMMON STOCK;CONSUMER SERVICES;HOMEBUILDING
1;JPM;JP MORGAN CHASE & CO. COMMON STOCK;FINANCE;MAJOR BANKS
102;JPM;JPMORGAN CHASE & CO.;;
874;JPS;NUVEEN PREFERRED & INCOME SECURITIES FUND;FINANCE;INVESTMENT MANAGERS
535;JWN;NORDSTROM INC. COMMON STOCK;CONSUMER SERVICES;CLOTHING/SHOE/ACCESSORY STORES
223;K;KELLOGG COMPANY COMMON STOCK;CONSUMER NON-DURABLES;PACKAGED FOODS
859;KAI;KADANT INC COMMON STOCK;TECHNOLOGY;INDUSTRIAL MACHINERY/COMPONENTS
841;KAR;KAR AUCTION SERVICES INC COMMON STOCK;;
652;KBH;KB HOME COMMON STOCK;;
556;KBR;KBR INC. COMMON STOCK;CAPITAL GOODS;OILFIELD SERVICES/EQUIPMENT
103;KDP;KEURIG DR PEPPER INC.;;
667;KEX;KIRBY CORPORATION COMMON STOCK;TRANSPORTATION;MARINE TRANSPORTATION
238;KEY;KEYCORP COMMON STOCK;FINANCE;MAJOR BANKS
104;KEY;KEYCORP;;
